time,lat,lon,precip_mm_day,year,month,days_in_month,precip_mm_month,departamento
2000-04-01,-0.5,-78.5,2.3797651007600367,2000,4,30,71.3929530228011,Nariño
2000-04-01,-0.5,-77.5,9.345405349428896,2000,4,30,280.3621604828669,Nariño
2000-04-01,-0.5,-76.5,5.937006862991199,2000,4,30,178.11020588973597,Nariño
2000-04-01,0.5,-79.5,10.942409380916839,2000,4,30,328.27228142750516,Nariño
2000-04-01,0.5,-78.5,5.551048212977625,2000,4,30,166.53144638932875,Nariño
2000-04-01,0.5,-77.5,3.7076768374935583,2000,4,30,111.23030512480675,Nariño
2000-04-01,0.5,-76.5,5.754535817255614,2000,4,30,172.63607451766842,Nariño
2000-04-01,1.5,-79.5,6.853529625067067,2000,4,30,205.60588875201202,Nariño
2000-04-01,1.5,-78.5,9.313800577637213,2000,4,30,279.4140173291164,Nariño
2000-04-01,1.5,-77.5,5.142601964501509,2000,4,30,154.27805893504527,Nariño
2000-04-01,1.5,-76.5,4.553136745732931,2000,4,30,136.59410237198793,Nariño
2000-05-01,-1.5,-79.5,0.5920057630257554,2000,5,31,18.352178653798415,Nariño
2000-05-01,-1.5,-78.5,3.6018964392130774,2000,5,31,111.6587896156054,Nariño
2000-05-01,-1.5,-77.5,13.866509504745242,2000,5,31,429.8617946471025,Nariño
2000-05-01,-1.5,-76.5,9.34195832271202,2000,5,31,289.60070800407266,Nariño
2000-05-01,-0.5,-79.5,1.8085354590984555,2000,5,31,56.06459923205212,Nariño
2000-05-01,-0.5,-78.5,1.283943407315366,2000,5,31,39.80224562677635,Nariño
2000-05-01,-0.5,-77.5,11.102401384977265,2000,5,31,344.1744429342952,Nariño
2000-05-01,-0.5,-76.5,18.139328431185433,2000,5,31,562.3191813667485,Nariño
2000-05-01,0.5,-79.5,3.424814943367208,2000,5,31,106.16926324438344,Nariño
2000-05-01,0.5,-78.5,2.545357957618994,2000,5,31,78.90609668618882,Nariño
2000-05-01,0.5,-77.5,6.232897787282003,2000,5,31,193.21983140574207,Nariño
2000-05-01,0.5,-76.5,10.953331641427981,2000,5,31,339.5532808842674,Nariño
2000-05-01,1.5,-79.5,7.609230540733531,2000,5,31,235.88614676273946,Nariño
2000-05-01,1.5,-78.5,8.712481091193713,2000,5,31,270.0869138270051,Nariño
2000-05-01,1.5,-77.5,5.376146921555444,2000,5,31,166.66055456821877,Nariño
2000-05-01,1.5,-76.5,5.881641745217875,2000,5,31,182.33089410175413,Nariño
2000-06-01,-1.5,-79.5,0.4017104934828779,2000,6,30,12.051314804486337,Nariño
2000-06-01,-1.5,-78.5,3.632984398316429,2000,6,30,108.98953194949287,Nariño
2000-06-01,-1.5,-77.5,4.547465969010894,2000,6,30,136.42397907032682,Nariño
2000-06-01,-1.5,-76.5,7.753462852263378,2000,6,30,232.60388556790133,Nariño
2000-06-01,-0.5,-79.5,0.9265703317675871,2000,6,30,27.79710995302761,Nariño
2000-06-01,-0.5,-78.5,2.1994217408336096,2000,6,30,65.9826522250083,Nariño
2000-06-01,-0.5,-77.5,2.393744370427614,2000,6,30,71.81233111282842,Nariño
2000-06-01,-0.5,-76.5,5.299912198707183,2000,6,30,158.9973659612155,Nariño
2000-06-01,0.5,-79.5,1.6747872606951146,2000,6,30,50.24361782085344,Nariño
2000-06-01,0.5,-78.5,1.8412853349955636,2000,6,30,55.238560049866905,Nariño
2000-06-01,0.5,-77.5,2.5087838246180914,2000,6,30,75.26351473854274,Nariño
2000-06-01,0.5,-76.5,3.572633001210978,2000,6,30,107.17899003632934,Nariño
